Date,Yield
2023-10-04,3.329
2023-10-05,3.326
2023-10-06,3.33
2023-10-07,3.333
2023-10-08,3.336
2023-10-09,3.338
2023-10-10,3.336
2023-10-11,3.325
2023-10-12,3.32
2023-10-13,3.322
2023-10-14,3.327
2023-10-15,3.327
2023-10-16,3.322
2023-10-17,3.318
2023-10-18,3.309
2023-10-19,3.313
2023-10-20,3.308
2023-10-21,3.317
2023-10-22,3.314
2023-10-23,3.319
2023-10-24,3.31
2023-10-25,3.302
2023-10-26,3.296
2023-10-27,3.301
2023-10-28,3.287
2023-10-29,3.289
2023-10-30,3.289
2023-10-31,3.304
2023-11-01,3.305
2023-11-02,3.314
2023-11-03,3.314
2023-11-04,3.306
2023-11-05,3.299
2023-11-06,3.3
2023-11-07,3.301
2023-11-08,3.286
2023-11-09,3.29
2023-11-10,3.287
2023-11-11,3.285
2023-11-12,3.284
2023-11-13,3.287
2023-11-14,3.292
2023-11-15,3.291
2023-11-16,3.288
2023-11-17,3.29
2023-11-18,3.281
2023-11-19,3.285
2023-11-20,3.294
2023-11-21,3.284
2023-11-22,3.289
2023-11-23,3.285
2023-11-24,3.281
2023-11-25,3.283
2023-11-26,3.28
2023-11-27,3.282
2023-11-28,3.282
2023-11-29,3.284
2023-11-30,3.28
2023-12-01,3.281
2023-12-02,3.282
2023-12-03,3.286
2023-12-04,3.283
2023-12-05,3.287
2023-12-06,3.288
2023-12-07,3.283
2023-12-08,3.284
2023-12-09,3.283
2023-12-10,3.272
2023-12-11,3.266
2023-12-12,3.271
2023-12-13,3.266
2023-12-14,3.264
2023-12-15,3.255
2023-12-16,3.259
2023-12-17,3.261
2023-12-18,3.258
2023-12-19,3.251
2023-12-20,3.252
2023-12-21,3.262
2023-12-22,3.261
2023-12-23,3.264
2023-12-24,3.259
2023-12-25,3.265
2023-12-26,3.277
2023-12-27,3.274
2023-12-28,3.278
2023-12-29,3.27
2023-12-30,3.273
2023-12-31,3.282
2024-01-01,3.283
2024-01-02,3.27
2024-01-03,3.284
2024-01-04,3.288
2024-01-05,3.292
2024-01-06,3.294
2024-01-07,3.3
2024-01-08,3.297
2024-01-09,3.298
2024-01-10,3.3
2024-01-11,3.307
2024-01-12,3.308
2024-01-13,3.307
2024-01-14,3.302
2024-01-15,3.306
2024-01-16,3.312
2024-01-17,3.318
2024-01-18,3.319
2024-01-19,3.319
2024-01-20,3.316
2024-01-21,3.325
2024-01-22,3.329
2024-01-23,3.335
2024-01-24,3.317
2024-01-25,3.317
2024-01-26,3.327
2024-01-27,3.318
2024-01-28,3.315
2024-01-29,3.314
2024-01-30,3.312
2024-01-31,3.322
2024-02-01,3.323
2024-02-02,3.32
2024-02-03,3.318
2024-02-04,3.311
2024-02-05,3.313
2024-02-06,3.316
2024-02-07,3.323
2024-02-08,3.323
2024-02-09,3.326
2024-02-10,3.328
2024-02-11,3.333
2024-02-12,3.334
2024-02-13,3.337
2024-02-14,3.333
2024-02-15,3.33
2024-02-16,3.343
2024-02-17,3.343
2024-02-18,3.351
2024-02-19,3.349
2024-02-20,3.346
2024-02-21,3.346
2024-02-22,3.345
2024-02-23,3.349
2024-02-24,3.343
2024-02-25,3.348
2024-02-26,3.351
2024-02-27,3.348
2024-02-28,3.35
2024-02-29,3.351
2024-03-01,3.362
2024-03-02,3.362
2024-03-03,3.366
2024-03-04,3.373
2024-03-05,3.38
2024-03-06,3.381
2024-03-07,3.377
2024-03-08,3.385
2024-03-09,3.391
2024-03-10,3.387
2024-03-11,3.386
2024-03-12,3.381
2024-03-13,3.383
2024-03-14,3.395
2024-03-15,3.395
2024-03-16,3.394
2024-03-17,3.391
2024-03-18,3.389
2024-03-19,3.402
2024-03-20,3.415
2024-03-21,3.413
2024-03-22,3.41
2024-03-23,3.405
2024-03-24,3.412
2024-03-25,3.415
2024-03-26,3.422
2024-03-27,3.412
2024-03-28,3.41
2024-03-29,3.41
2024-03-30,3.406
2024-03-31,3.415
2024-04-01,3.415
2024-04-02,3.41
2024-04-03,3.413
2024-04-04,3.406
2024-04-05,3.408
2024-04-06,3.406
2024-04-07,3.408
2024-04-08,3.411
2024-04-09,3.417
2024-04-10,3.418
2024-04-11,3.406
2024-04-12,3.407
2024-04-13,3.414
2024-04-14,3.418
2024-04-15,3.419
2024-04-16,3.418
2024-04-17,3.424
2024-04-18,3.424
2024-04-19,3.417
2024-04-20,3.428
2024-04-21,3.423
2024-04-22,3.423
2024-04-23,3.425
2024-04-24,3.421
2024-04-25,3.429
2024-04-26,3.423
2024-04-27,3.423
2024-04-28,3.42
2024-04-29,3.424
2024-04-30,3.43
2024-05-01,3.43
2024-05-02,3.425
2024-05-03,3.416
2024-05-04,3.407
2024-05-05,3.402
2024-05-06,3.402
2024-05-07,3.409
2024-05-08,3.397
2024-05-09,3.406
2024-05-10,3.402
2024-05-11,3.404
2024-05-12,3.401
2024-05-13,3.407
2024-05-14,3.406
2024-05-15,3.401
2024-05-16,3.403
2024-05-17,3.412
2024-05-18,3.409
2024-05-19,3.408
2024-05-20,3.403
2024-05-21,3.407
2024-05-22,3.422
2024-05-23,3.426
2024-05-24,3.427
2024-05-25,3.428
2024-05-26,3.425
2024-05-27,3.431
2024-05-28,3.433
2024-05-29,3.432
2024-05-30,3.429
2024-05-31,3.427
2024-06-01,3.426
2024-06-02,3.427
2024-06-03,3.437
2024-06-04,3.439
2024-06-05,3.44
2024-06-06,3.448
2024-06-07,3.448
2024-06-08,3.444
2024-06-09,3.441
2024-06-10,3.439
2024-06-11,3.431
2024-06-12,3.427
2024-06-13,3.429
2024-06-14,3.442
2024-06-15,3.443
2024-06-16,3.441
2024-06-17,3.439
2024-06-18,3.439
2024-06-19,3.44
2024-06-20,3.441
2024-06-21,3.445
2024-06-22,3.448
2024-06-23,3.448
2024-06-24,3.452
2024-06-25,3.458
2024-06-26,3.446
2024-06-27,3.454
2024-06-28,3.444
2024-06-29,3.442
2024-06-30,3.439
2024-07-01,3.438
2024-07-02,3.43
2024-07-03,3.432
2024-07-04,3.433
2024-07-05,3.438
2024-07-06,3.437
2024-07-07,3.434
2024-07-08,3.427
2024-07-09,3.429
2024-07-10,3.435
2024-07-11,3.431
2024-07-12,3.422
2024-07-13,3.429
2024-07-14,3.425
2024-07-15,3.433
2024-07-16,3.43
2024-07-17,3.428
2024-07-18,3.421
2024-07-19,3.413
2024-07-20,3.408
2024-07-21,3.411
2024-07-22,3.415
2024-07-23,3.424
2024-07-24,3.426
2024-07-25,3.428
2024-07-26,3.439
2024-07-27,3.429
2024-07-28,3.415
2024-07-29,3.421
2024-07-30,3.421
2024-07-31,3.424
2024-08-01,3.419
2024-08-02,3.419
2024-08-03,3.408
2024-08-04,3.406
2024-08-05,3.411
2024-08-06,3.414
2024-08-07,3.409
2024-08-08,3.406
2024-08-09,3.404
2024-08-10,3.409
2024-08-11,3.403
2024-08-12,3.408
2024-08-13,3.41
2024-08-14,3.404
2024-08-15,3.404
2024-08-16,3.401
2024-08-17,3.408
2024-08-18,3.41
2024-08-19,3.417
2024-08-20,3.416
2024-08-21,3.422
2024-08-22,3.418
2024-08-23,3.411
2024-08-24,3.403
2024-08-25,3.4
2024-08-26,3.406
2024-08-27,3.411
2024-08-28,3.417
2024-08-29,3.417
2024-08-30,3.411
2024-08-31,3.419
2024-09-01,3.415
2024-09-02,3.415
2024-09-03,3.416
2024-09-04,3.411
2024-09-05,3.408
2024-09-06,3.405
2024-09-07,3.407
2024-09-08,3.406
2024-09-09,3.412
2024-09-10,3.415
2024-09-11,3.414
2024-09-12,3.422
2024-09-13,3.424
2024-09-14,3.425
2024-09-15,3.441
2024-09-16,3.448
2024-09-17,3.441
2024-09-18,3.433
2024-09-19,3.436
2024-09-20,3.436
2024-09-21,3.432
2024-09-22,3.432
2024-09-23,3.424
2024-09-24,3.43
2024-09-25,3.431
2024-09-26,3.434
2024-09-27,3.449
2024-09-28,3.448
2024-09-29,3.445
2024-09-30,3.436
2024-10-01,3.428
2024-10-02,3.434
2024-10-03,3.445
2024-10-04,3.448
2024-10-05,3.447
2024-10-06,3.449
2024-10-07,3.443
2024-10-08,3.44
2024-10-09,3.435
2024-10-10,3.432
2024-10-11,3.432
2024-10-12,3.431
2024-10-13,3.432
2024-10-14,3.439
2024-10-15,3.434
2024-10-16,3.423
2024-10-17,3.434
2024-10-18,3.441
2024-10-19,3.44
2024-10-20,3.449
2024-10-21,3.447
2024-10-22,3.453
2024-10-23,3.454
2024-10-24,3.452
2024-10-25,3.455
2024-10-26,3.463
2024-10-27,3.46
2024-10-28,3.456
2024-10-29,3.463
2024-10-30,3.463
2024-10-31,3.458
2024-11-01,3.461
2024-11-02,3.459
2024-11-03,3.45
2024-11-04,3.456
2024-11-05,3.46
2024-11-06,3.457
2024-11-07,3.455
2024-11-08,3.459
2024-11-09,3.465
2024-11-10,3.461
2024-11-11,3.463
2024-11-12,3.459
2024-11-13,3.459
2024-11-14,3.447
2024-11-15,3.445
2024-11-16,3.456
2024-11-17,3.461
2024-11-18,3.461
2024-11-19,3.471
2024-11-20,3.46
2024-11-21,3.463
2024-11-22,3.471
2024-11-23,3.473
2024-11-24,3.481
2024-11-25,3.493
2024-11-26,3.499
2024-11-27,3.492
2024-11-28,3.481
2024-11-29,3.475
2024-11-30,3.468
2024-12-01,3.464
2024-12-02,3.457
2024-12-03,3.465
2024-12-04,3.467
2024-12-05,3.47
2024-12-06,3.476
2024-12-07,3.48
2024-12-08,3.49
2024-12-09,3.495
2024-12-10,3.491
2024-12-11,3.493
2024-12-12,3.503
2024-12-13,3.494
2024-12-14,3.496
2024-12-15,3.5
2024-12-16,3.495
2024-12-17,3.493
2024-12-18,3.488
2024-12-19,3.491
2024-12-20,3.491
2024-12-21,3.494
2024-12-22,3.49
2024-12-23,3.484
2024-12-24,3.486
2024-12-25,3.488
2024-12-26,3.479
2024-12-27,3.483
2024-12-28,3.485
2024-12-29,3.486
2024-12-30,3.493
2024-12-31,3.491
2025-01-01,3.5
2025-01-02,3.504
2025-01-03,3.495
2025-01-04,3.495
2025-01-05,3.487
2025-01-06,3.491
2025-01-07,3.493
2025-01-08,3.493
2025-01-09,3.488
2025-01-10,3.495
2025-01-11,3.493
2025-01-12,3.479
2025-01-13,3.48
2025-01-14,3.496
2025-01-15,3.49
2025-01-16,3.494
2025-01-17,3.497
2025-01-18,3.5
2025-01-19,3.501
2025-01-20,3.496
2025-01-21,3.488
2025-01-22,3.484
2025-01-23,3.48
2025-01-24,3.473
2025-01-25,3.472
2025-01-26,3.477
2025-01-27,3.464
2025-01-28,3.465
2025-01-29,3.463
2025-01-30,3.456
2025-01-31,3.461
2025-02-01,3.467
2025-02-02,3.47
2025-02-03,3.464
2025-02-04,3.459
2025-02-05,3.449
2025-02-06,3.447
2025-02-07,3.453
2025-02-08,3.455
2025-02-09,3.453
2025-02-10,3.454
2025-02-11,3.459
2025-02-12,3.464
2025-02-13,3.462
2025-02-14,3.458
2025-02-15,3.453
2025-02-16,3.455
2025-02-17,3.458
2025-02-18,3.451
2025-02-19,3.457
2025-02-20,3.463
2025-02-21,3.471
2025-02-22,3.478
2025-02-23,3.478
2025-02-24,3.467
2025-02-25,3.469
2025-02-26,3.469
2025-02-27,3.461
2025-02-28,3.477
2025-03-01,3.479
2025-03-02,3.473
2025-03-03,3.475
2025-03-04,3.491
2025-03-05,3.493
2025-03-06,3.497
2025-03-07,3.498
2025-03-08,3.496
2025-03-09,3.503
2025-03-10,3.5
2025-03-11,3.495
2025-03-12,3.483
2025-03-13,3.488
2025-03-14,3.488
2025-03-15,3.482
2025-03-16,3.486
2025-03-17,3.489
2025-03-18,3.49
2025-03-19,3.49
2025-03-20,3.49
2025-03-21,3.489
2025-03-22,3.494
2025-03-23,3.49
2025-03-24,3.497
2025-03-25,3.511
2025-03-26,3.514
2025-03-27,3.509
2025-03-28,3.518
2025-03-29,3.52
2025-03-30,3.521
2025-03-31,3.522
2025-04-01,3.52
2025-04-02,3.523
2025-04-03,3.526
2025-04-04,3.522
2025-04-05,3.527
2025-04-06,3.548
2025-04-07,3.555
2025-04-08,3.558
2025-04-09,3.553
2025-04-10,3.543
2025-04-11,3.54
2025-04-12,3.541
2025-04-13,3.542
2025-04-14,3.532
2025-04-15,3.541
2025-04-16,3.535
2025-04-17,3.535
2025-04-18,3.527
2025-04-19,3.524
2025-04-20,3.531
2025-04-21,3.531
2025-04-22,3.528
2025-04-23,3.517
2025-04-24,3.514
2025-04-25,3.508
2025-04-26,3.506
2025-04-27,3.512
2025-04-28,3.515
2025-04-29,3.502
2025-04-30,3.495
2025-05-01,3.492
2025-05-02,3.489
2025-05-03,3.488
2025-05-04,3.481
2025-05-05,3.476
2025-05-06,3.467
2025-05-07,3.459
2025-05-08,3.453
2025-05-09,3.447
2025-05-10,3.441
2025-05-11,3.441
2025-05-12,3.438
2025-05-13,3.435
2025-05-14,3.444
2025-05-15,3.447
2025-05-16,3.451
2025-05-17,3.452
2025-05-18,3.451
2025-05-19,3.455
2025-05-20,3.453
2025-05-21,3.463
2025-05-22,3.458
2025-05-23,3.457
2025-05-24,3.46
2025-05-25,3.461
2025-05-26,3.465
2025-05-27,3.461
2025-05-28,3.456
2025-05-29,3.449
2025-05-30,3.452
2025-05-31,3.45
2025-06-01,3.445
2025-06-02,3.449
2025-06-03,3.451
2025-06-04,3.448
2025-06-05,3.452
2025-06-06,3.454
2025-06-07,3.459
2025-06-08,3.472
2025-06-09,3.47
2025-06-10,3.478
2025-06-11,3.481
2025-06-12,3.489
2025-06-13,3.48
2025-06-14,3.472
2025-06-15,3.468
2025-06-16,3.476
2025-06-17,3.48
2025-06-18,3.473
2025-06-19,3.471
2025-06-20,3.467
2025-06-21,3.476
2025-06-22,3.479
2025-06-23,3.476
2025-06-24,3.476
2025-06-25,3.469
2025-06-26,3.47
2025-06-27,3.467
2025-06-28,3.463
2025-06-29,3.469
2025-06-30,3.473
2025-07-01,3.47
2025-07-02,3.476
2025-07-03,3.478
2025-07-04,3.479
2025-07-05,3.487
2025-07-06,3.485
2025-07-07,3.485
2025-07-08,3.497
2025-07-09,3.502
2025-07-10,3.503
2025-07-11,3.515
2025-07-12,3.51
2025-07-13,3.506
2025-07-14,3.505
2025-07-15,3.504
2025-07-16,3.51
2025-07-17,3.504
2025-07-18,3.512
2025-07-19,3.512
2025-07-20,3.518
2025-07-21,3.518
2025-07-22,3.516
2025-07-23,3.508
2025-07-24,3.497
2025-07-25,3.486
2025-07-26,3.496
2025-07-27,3.509
2025-07-28,3.512
2025-07-29,3.524
2025-07-30,3.527
2025-07-31,3.529
2025-08-01,3.526
2025-08-02,3.527
2025-08-03,3.535
2025-08-04,3.531
2025-08-05,3.53
2025-08-06,3.531
2025-08-07,3.532
2025-08-08,3.54
2025-08-09,3.537
2025-08-10,3.535
2025-08-11,3.54
2025-08-12,3.543
2025-08-13,3.543
2025-08-14,3.547
2025-08-15,3.551
2025-08-16,3.543
2025-08-17,3.548
2025-08-18,3.552
2025-08-19,3.547
2025-08-20,3.54
2025-08-21,3.54
2025-08-22,3.54
2025-08-23,3.532
2025-08-24,3.516
2025-08-25,3.518
2025-08-26,3.521
2025-08-27,3.536
2025-08-28,3.529
2025-08-29,3.531
2025-08-30,3.535
2025-08-31,3.52
2025-09-01,3.522
2025-09-02,3.53
2025-09-03,3.522
2025-09-04,3.52
2025-09-05,3.523
2025-09-06,3.521
2025-09-07,3.512
2025-09-08,3.51
2025-09-09,3.507
2025-09-10,3.503
2025-09-11,3.514
2025-09-12,3.508
2025-09-13,3.515
2025-09-14,3.528
2025-09-15,3.527
2025-09-16,3.53
2025-09-17,3.536
2025-09-18,3.533
2025-09-19,3.542
2025-09-20,3.536
2025-09-21,3.532
2025-09-22,3.529
2025-09-23,3.531
2025-09-24,3.528
2025-09-25,3.52
2025-09-26,3.526
2025-09-27,3.527
2025-09-28,3.533
2025-09-29,3.532
2025-09-30,3.537
2025-10-01,3.545
2025-10-02,3.543
2025-10-03,3.541
2025-10-04,3.546
2025-10-05,3.544
2025-10-06,3.549
2025-10-07,3.552
2025-10-08,3.552
2025-10-09,3.555
2025-10-10,3.554
2025-10-11,3.546
2025-10-12,3.543
2025-10-13,3.543
2025-10-14,3.532
2025-10-15,3.534
2025-10-16,3.537
2025-10-17,3.543
2025-10-18,3.543
2025-10-19,3.533
2025-10-20,3.526
2025-10-21,3.517
2025-10-22,3.515
2025-10-23,3.528
2025-10-24,3.526
2025-10-25,3.527
2025-10-26,3.526
2025-10-27,3.519
2025-10-28,3.516
2025-10-29,3.518
2025-10-30,3.521
2025-10-31,3.526
2025-11-01,3.517
2025-11-02,3.505
2025-11-03,3.507
2025-11-04,3.509
2025-11-05,3.508
2025-11-06,3.511
2025-11-07,3.511
2025-11-08,3.519
2025-11-09,3.516
2025-11-10,3.516
2025-11-11,3.517
2025-11-12,3.521
2025-11-13,3.522
2025-11-14,3.514
2025-11-15,3.506
2025-11-16,3.509
2025-11-17,3.523
2025-11-18,3.518
2025-11-19,3.513
2025-11-20,3.514
2025-11-21,3.524
2025-11-22,3.514
2025-11-23,3.517
2025-11-24,3.512
2025-11-25,3.505
2025-11-26,3.498
2025-11-27,3.494
2025-11-28,3.497
2025-11-29,3.499
2025-11-30,3.497
2025-12-01,3.494
2025-12-02,3.495
2025-12-03,3.501
2025-12-04,3.498
2025-12-05,3.501
2025-12-06,3.508
2025-12-07,3.51
2025-12-08,3.512
2025-12-09,3.51
2025-12-10,3.501
2025-12-11,3.494
2025-12-12,3.502
2025-12-13,3.513
2025-12-14,3.519
2025-12-15,3.518
2025-12-16,3.526
2025-12-17,3.525
2025-12-18,3.521
2025-12-19,3.526
2025-12-20,3.517
2025-12-21,3.516
2025-12-22,3.52
2025-12-23,3.514
2025-12-24,3.504
2025-12-25,3.504
2025-12-26,3.497
2025-12-27,3.503
2025-12-28,3.498
2025-12-29,3.501
2025-12-30,3.506
2025-12-31,3.504
2026-01-01,3.522
2026-01-02,3.527
2026-01-03,3.53
2026-01-04,3.534
2026-01-05,3.532
2026-01-06,3.535
2026-01-07,3.534
2026-01-08,3.548
2026-01-09,3.549
2026-01-10,3.534
2026-01-11,3.537
2026-01-12,3.534
2026-01-13,3.542
2026-01-14,3.54
2026-01-15,3.541
2026-01-16,3.528
2026-01-17,3.536
2026-01-18,3.531
2026-01-19,3.526
2026-01-20,3.53
2026-01-21,3.526
2026-01-22,3.515
2026-01-23,3.512
2026-01-24,3.507
2026-01-25,3.505
2026-01-26,3.503
2026-01-27,3.506
2026-01-28,3.502
2026-01-29,3.5
2026-01-30,3.502
2026-01-31,3.489
2026-02-01,3.489
2026-02-02,3.486
2026-02-03,3.48
2026-02-04,3.473
2026-02-05,3.461
2026-02-06,3.456
2026-02-07,3.458
2026-02-08,3.459
2026-02-09,3.46
2026-02-10,3.47
2026-02-11,3.471
2026-02-12,3.471
2026-02-13,3.471
2026-02-14,3.467
2026-02-15,3.462
2026-02-16,3.47
2026-02-17,3.465
2026-02-18,3.471
2026-02-19,3.463
2026-02-20,3.471
2026-02-21,3.47
2026-02-22,3.485
2026-02-23,3.488
2026-02-24,3.482
2026-02-25,3.485
2026-02-26,3.488
2026-02-27,3.491
2026-02-28,3.479
2026-03-01,3.48
2026-03-02,3.475
2026-03-03,3.465
2026-03-04,3.473
2026-03-05,3.462
2026-03-06,3.469
2026-03-07,3.477
2026-03-08,3.479
2026-03-09,3.486
2026-03-10,3.486
2026-03-11,3.486
2026-03-12,3.485
2026-03-13,3.489
2026-03-14,3.492
2026-03-15,3.489
2026-03-16,3.495
2026-03-17,3.493
2026-03-18,3.486
2026-03-19,3.484
2026-03-20,3.489
2026-03-21,3.503
2026-03-22,3.509
