Date,ZZ0000000001,ZZ0000000002,ZZ0000000003,ZZ0000000004,ZZ0000000005,ZZ0000000006,ZZ0000000007,ZZ0000000008,ZZ0000000009,ZZ0000000010,ZZ0000000011,ZZ0000000012
2023-03-06,1.0057952577,1.0036977634,1.0056473460,1.0055133309,1.0115145345,1.0182739326,1.0061771638,1.0018263595,0.9543806033,1.0045637125,1.0136415371,1.1421663174
2023-03-07,1.0059840512,1.0036375432,1.0057576368,1.0053623874,1.0102501337,1.0199865974,1.0061452195,1.0034285972,0.9504368550,1.0032077729,1.0091385345,1.1268812975
2023-03-08,1.0062376014,1.0037152474,1.0058289621,1.0055856607,1.0100645555,1.0203074130,1.0062262295,1.0008879288,0.9468166480,1.0174884804,1.0059727440,1.1502253804
2023-03-09,1.0062596820,1.0037422391,1.0060322719,1.0054017754,1.0103902395,1.0192067738,1.0062052686,1.0035978526,0.9433427066,1.0435580984,1.0007524062,1.1923741632
2023-03-10,1.0062470528,1.0038235135,1.0059907585,1.0057668310,1.0101653640,1.0199555457,1.0061130177,1.0006653157,0.9418034982,1.0443338541,1.0034150129,1.1785533601
2023-03-13,1.0063713981,1.0038582297,1.0060562228,1.0059016703,1.0107452071,1.0207351395,1.0063855433,1.0015688612,0.9350747422,1.0488753746,0.9986504320,1.1562234758
2023-03-14,1.0064909546,1.0039902254,1.0061848289,1.0061384169,1.0114380578,1.0205285572,1.0065506878,1.0025370561,0.9460268509,1.0681853246,1.0093746735,1.1637039227
2023-03-15,1.0065568646,1.0039740861,1.0063243685,1.0062647996,1.0114833571,1.0199103157,1.0067757974,1.0060018765,0.9417714168,1.0697273144,1.0062783460,1.1427339633
2023-03-16,1.0068040851,1.0041081398,1.0066366599,1.0061642418,1.0122091609,1.0208758071,1.0068587324,1.0057007191,0.9315786600,1.0803605682,1.0018241321,1.1422872394
2023-03-17,1.0068715886,1.0042065881,1.0067673215,1.0064103758,1.0103735938,1.0217052593,1.0070380696,1.0055399438,0.9321817450,1.0956775112,1.0137927076,1.1538718770
2023-03-20,1.0069936883,1.0042584004,1.0068617445,1.0064882429,1.0109161264,1.0221521540,1.0071287970,1.0055212708,0.9254597519,1.0950306714,1.0203261293,1.1710983005
2023-03-21,1.0070732971,1.0044152452,1.0069737584,1.0067039366,1.0122156040,1.0226785121,1.0072023064,1.0070154331,0.9117130757,1.0697651118,1.0118056706,1.1661215732
2023-03-22,1.0072851588,1.0044765628,1.0072807242,1.0070728967,1.0121389212,1.0215613673,1.0073931992,1.0064961253,0.9092252231,1.0657764512,1.0166809255,1.1620061237
2023-03-23,1.0075156039,1.0046007214,1.0073146302,1.0070514044,1.0121141127,1.0207178894,1.0076852668,1.0065539433,0.9038004193,1.0728135916,1.0200784531,1.1559135678
2023-03-24,1.0077458195,1.0046696785,1.0073352469,1.0069713798,1.0122198709,1.0215317576,1.0079892858,1.0088020096,0.9075272672,1.0723141352,1.0226178205,1.1614869292
2023-03-27,1.0079307566,1.0049826718,1.0073870268,1.0071445693,1.0129095223,1.0210020286,1.0082162908,1.0103606320,0.9151613653,1.0561060357,1.0226822328,1.1741901071
2023-03-28,1.0080264002,1.0050690402,1.0075860511,1.0073107094,1.0132578808,1.0218770447,1.0083396278,1.0126288817,0.9134169720,1.0428643607,1.0196255708,1.1809617264
2023-03-29,1.0083285711,1.0051585233,1.0077974228,1.0073772323,1.0137841398,1.0211314931,1.0085621476,1.0113104598,0.9122180310,1.0598422576,1.0195583998,1.1656661953
2023-03-30,1.0087899706,1.0050897496,1.0078817801,1.0075914855,1.0131166776,1.0211114303,1.0086764498,1.0080009775,0.9145533517,1.0615620301,1.0185243758,1.1576841135
2023-03-31,1.0090602794,1.0053140667,1.0083103715,1.0076983471,1.0138874589,1.0204449622,1.0088019379,1.0055530546,0.9137371832,1.0655162565,1.0155012378,1.1403295829
2023-04-03,1.0091201418,1.0054041104,1.0086527466,1.0078968835,1.0124022248,1.0195776535,1.0088037928,1.0050597589,0.8976007135,1.0752181114,0.9915729619,1.1138303344
2023-04-04,1.0092728329,1.0057630287,1.0088325216,1.0080772593,1.0119588995,1.0191108497,1.0088641661,1.0030556176,0.8908210262,1.0868528283,0.9805352318,1.0975092664
2023-04-05,1.0095469337,1.0058124937,1.0088813837,1.0081731584,1.0126311797,1.0195748888,1.0091104635,1.0064189521,0.8937886575,1.0934359004,0.9862630480,1.1124398741
2023-04-06,1.0094953190,1.0061514764,1.0089458949,1.0083861430,1.0121786072,1.0201225860,1.0094663674,1.0039887984,0.8954474746,1.0806760008,0.9873897863,1.1106379805
2023-04-07,1.0096788806,1.0063951609,1.0091541723,1.0085545419,1.0141454328,1.0199807679,1.0096459012,1.0022325037,0.9090783183,1.1240823052,1.0056666400,1.1297645277
2023-04-10,1.0097338587,1.0065394254,1.0092415254,1.0086401624,1.0142934749,1.0205111481,1.0097566694,1.0016943793,0.9100273658,1.1266523323,1.0068771853,1.1339635237
2023-04-11,1.0099193992,1.0071476651,1.0093243177,1.0087985894,1.0155671029,1.0206997021,1.0097497955,1.0006233250,0.9211495736,1.1259739836,1.0100490933,1.1349316140
2023-04-12,1.0101764084,1.0069798545,1.0095520375,1.0091646736,1.0169647019,1.0223585330,1.0098534896,0.9991961548,0.9162467529,1.1159089645,1.0010578358,1.1173965918
2023-04-13,1.0103112870,1.0071062739,1.0097285206,1.0094528402,1.0174650250,1.0217296933,1.0099518124,1.0014321528,0.9268004253,1.1321788850,1.0276275296,1.1357179888
2023-04-14,1.0103791027,1.0072808764,1.0097794168,1.0096539258,1.0181587317,1.0226372915,1.0101141379,0.9992461540,0.9316139719,1.1154009562,1.0300509201,1.1362638207
2023-04-17,1.0103725468,1.0075458010,1.0098835038,1.0096730677,1.0179500431,1.0228830213,1.0101383154,1.0034244863,0.9363729992,1.1259116513,1.0322509062,1.1480317959
2023-04-18,1.0106782215,1.0075795397,1.0101340843,1.0099486293,1.0187394375,1.0241376390,1.0103780803,1.0049780040,0.9508122528,1.1491128923,1.0433510409,1.1731825629
2023-04-19,1.0107508274,1.0078172892,1.0102745876,1.0100418055,1.0192090938,1.0237721889,1.0103968408,1.0067083487,0.9583243692,1.1683751745,1.0551442368,1.1638326525
2023-04-20,1.0109876569,1.0080166821,1.0103356186,1.0101173958,1.0191228167,1.0226870228,1.0105041473,1.0050442421,0.9580735150,1.1870547384,1.0555498345,1.1668353908
2023-04-21,1.0111950153,1.0082067955,1.0104399347,1.0103048394,1.0189219638,1.0219078780,1.0106586806,1.0102302391,0.9588208250,1.1968387165,1.0578247629,1.1422630532
2023-04-24,1.0113322976,1.0081616639,1.0105502299,1.0105043044,1.0193968258,1.0233780987,1.0107526232,1.0070850998,0.9567084396,1.2097169750,1.0580323784,1.1483469911
2023-04-25,1.0113706372,1.0082151435,1.0107456670,1.0105681213,1.0189249006,1.0217567679,1.0110340723,1.0114307115,0.9489160060,1.2087837337,1.0434508462,1.1467258980
2023-04-26,1.0115191253,1.0083502686,1.0109173949,1.0107871038,1.0195612999,1.0203174068,1.0111494988,1.0103768809,0.9470075141,1.1994119000,1.0525839287,1.1457266628
2023-04-27,1.0117011015,1.0083609937,1.0112681281,1.0109300357,1.0203628199,1.0202208705,1.0113417983,1.0131771923,0.9431184526,1.2102763761,1.0512482350,1.1520552052
2023-04-28,1.0118504212,1.0085597391,1.0111126606,1.0111159073,1.0214834430,1.0199708344,1.0115699171,1.0123130176,0.9371465638,1.2045489157,1.0453078995,1.1575554965
2023-05-01,1.0119611764,1.0087872032,1.0111628782,1.0113342051,1.0215684378,1.0203356095,1.0117912051,1.0092787159,0.9248832788,1.1921411540,1.0406636903,1.1498728944
2023-05-02,1.0120666245,1.0087320753,1.0113032658,1.0116978325,1.0218424569,1.0206260702,1.0119332923,1.0116248550,0.9200965479,1.1836529746,1.0299287929,1.1513031425
2023-05-03,1.0122270165,1.0087864530,1.0114645857,1.0116941345,1.0217048722,1.0212412504,1.0119762089,1.0137451425,0.9240158695,1.1815063628,1.0385420299,1.1508378836
2023-05-04,1.0124369256,1.0088998785,1.0117525690,1.0118330723,1.0219938805,1.0203994725,1.0121459320,1.0127275434,0.9198529055,1.1702812892,1.0349837847,1.1801770948
2023-05-05,1.0126005717,1.0091179994,1.0120133693,1.0121709517,1.0218004401,1.0210370204,1.0122541945,1.0107416755,0.9223876777,1.1707978006,1.0416784410,1.1851543531
2023-05-08,1.0125352610,1.0092901784,1.0121521372,1.0121936010,1.0221511710,1.0203497843,1.0123797359,1.0101686966,0.9032342794,1.1656795952,1.0340269472,1.1858757750
2023-05-09,1.0126507631,1.0094016215,1.0123149084,1.0122249862,1.0213966536,1.0193328595,1.0125443693,1.0118921982,0.9101523446,1.1638302055,1.0358866311,1.2108114073
2023-05-10,1.0128852589,1.0094259405,1.0123380904,1.0122555446,1.0215058398,1.0196226045,1.0129007991,1.0122271833,0.9153734035,1.1818097349,1.0512872041,1.2192053446
2023-05-11,1.0131277200,1.0094151491,1.0124168673,1.0121262661,1.0220325542,1.0200822995,1.0130823196,1.0119777833,0.9112817897,1.1760282690,1.0446128327,1.2140793270
2023-05-12,1.0131776889,1.0095290268,1.0125351210,1.0122477076,1.0218423367,1.0217742532,1.0131064309,1.0152988193,0.9148677785,1.1886074263,1.0434280529,1.2341745419
2023-05-15,1.0132449353,1.0097166715,1.0127275466,1.0123711134,1.0215465565,1.0215751722,1.0132733678,1.0167882542,0.9180690078,1.1762054941,1.0615054077,1.2323225385
2023-05-16,1.0134235084,1.0097015134,1.0128828777,1.0125995967,1.0215574670,1.0213032867,1.0135144540,1.0123315625,0.9282619312,1.1758985250,1.0607807680,1.2257760919
2023-05-17,1.0136384911,1.0098045359,1.0129341779,1.0128834963,1.0218930288,1.0204332904,1.0137497568,1.0146730871,0.9299737792,1.1811446795,1.0673114828,1.2187041585
2023-05-18,1.0139109282,1.0097823548,1.0131736299,1.0130249796,1.0223122127,1.0213689657,1.0138126261,1.0107478141,0.9287295366,1.1947252937,1.0619460014,1.2108017711
2023-05-19,1.0138756515,1.0097480782,1.0133225234,1.0130699452,1.0218843897,1.0216613661,1.0140518860,1.0093547948,0.9225982992,1.1737196086,1.0590874930,1.1951029926
2023-05-22,1.0141887356,1.0099064161,1.0134446187,1.0132184790,1.0210141373,1.0213078562,1.0143438413,1.0090895546,0.9244051302,1.1787815769,1.0625630311,1.1750355037
2023-05-23,1.0144421616,1.0099610563,1.0136071205,1.0133116165,1.0228961044,1.0216444714,1.0145710705,1.0097833390,0.9242185349,1.1830299444,1.0531018726,1.1771296617
2023-05-24,1.0146338548,1.0100064875,1.0137977396,1.0132090810,1.0232632569,1.0202595685,1.0145124356,1.0119587010,0.9187908853,1.1848928887,1.0453824396,1.2052260703
2023-05-25,1.0148178693,1.0101517740,1.0141782467,1.0132062218,1.0236448186,1.0204368706,1.0146055506,1.0142110013,0.9103086818,1.1843703701,1.0435744105,1.2253947873
2023-05-26,1.0150337746,1.0100146305,1.0142843920,1.0134323877,1.0238864571,1.0206666700,1.0146591925,1.0120975081,0.9143873252,1.1942340829,1.0572851864,1.2392078808
2023-05-29,1.0152927317,1.0100589258,1.0143005745,1.0134692562,1.0240098933,1.0231924680,1.0146993999,1.0110313447,0.9162649779,1.2016559766,1.0613052885,1.2244805848
2023-05-30,1.0151092402,1.0103284773,1.0144029068,1.0135273062,1.0248553301,1.0225294881,1.0148124688,1.0091025509,0.9116928707,1.2010729937,1.0662910999,1.2067770068
2023-05-31,1.0150888124,1.0104805631,1.0146009472,1.0134462112,1.0254355374,1.0227364450,1.0148563780,1.0088698919,0.9157339847,1.1893188643,1.0590791727,1.1854806722
2023-06-01,1.0151965757,1.0107370145,1.0146104835,1.0136105231,1.0256564244,1.0213318895,1.0150219993,1.0076043317,0.9116952607,1.1851458621,1.0616785010,1.1535649214
2023-06-02,1.0153903562,1.0107952411,1.0147000781,1.0136399886,1.0254701715,1.0217673024,1.0151344996,1.0067499264,0.9047218757,1.1814447342,1.0455060758,1.1398436766
2023-06-05,1.0156407789,1.0109757581,1.0149714784,1.0140193687,1.0251768042,1.0230287723,1.0151045262,1.0035356576,0.9057861339,1.1753485362,1.0487214003,1.1273734332
2023-06-06,1.0157095013,1.0109523619,1.0150707416,1.0143248635,1.0261965882,1.0226339669,1.0153382825,1.0043499116,0.9013932584,1.1685395802,1.0524166682,1.1278579735
2023-06-07,1.0158564585,1.0111494461,1.0150807426,1.0144890089,1.0263123777,1.0228133896,1.0154300206,1.0033574823,0.9072340202,1.1692673963,1.0705064098,1.1310369769
2023-06-08,1.0161028182,1.0113834582,1.0152703935,1.0146050086,1.0258385984,1.0218538002,1.0155325125,1.0065998611,0.9156906295,1.1877758590,1.0961326977,1.1482960391
2023-06-09,1.0161864499,1.0112206185,1.0154703523,1.0147798757,1.0255605473,1.0209594320,1.0157627693,1.0057556840,0.9362882170,1.2020541756,1.0974819652,1.1647777535
2023-06-12,1.0162476613,1.0113767929,1.0157219173,1.0150389652,1.0260815384,1.0210107211,1.0158828253,1.0054747015,0.9338340306,1.1939696706,1.0939210440,1.1638949439
2023-06-13,1.0162688527,1.0115449701,1.0158342838,1.0151436951,1.0264087316,1.0208826121,1.0158216352,1.0030682349,0.9251292664,1.2065283378,1.0825837688,1.1614884226
2023-06-14,1.0163058678,1.0116889306,1.0159149068,1.0153548153,1.0257965812,1.0211737368,1.0159251079,1.0050200391,0.9278952876,1.2051826187,1.0749944772,1.1792088563
2023-06-15,1.0163616816,1.0118921501,1.0160702403,1.0152864656,1.0254130872,1.0216976590,1.0161664709,1.0055930957,0.9284525942,1.1957929605,1.0701685331,1.1734885445
2023-06-16,1.0164962376,1.0119987446,1.0161528105,1.0153619701,1.0257107720,1.0220987494,1.0164750859,1.0043263972,0.9367962935,1.2088864089,1.0882331118,1.1929972142
2023-06-19,1.0166334826,1.0121271695,1.0160997160,1.0156331506,1.0249495707,1.0221759079,1.0166214965,1.0030681257,0.9329751609,1.1981213488,1.0783902500,1.1932776201
2023-06-20,1.0169938020,1.0123138803,1.0162490801,1.0155649519,1.0261368274,1.0230975996,1.0167638467,1.0033700792,0.9410754142,1.2257899670,1.0755717505,1.1991230253
2023-06-21,1.0173091157,1.0125982865,1.0164560237,1.0156995666,1.0257647108,1.0241993960,1.0168205308,1.0029334749,0.9402448907,1.2343138959,1.0591998202,1.1817763100
2023-06-22,1.0173408249,1.0124618313,1.0164176673,1.0158608682,1.0268839306,1.0260243466,1.0168385328,1.0053342335,0.9546513089,1.2313286332,1.0645608284,1.1831949998
2023-06-23,1.0174623576,1.0126635631,1.0165640489,1.0159769612,1.0275703344,1.0254366688,1.0170276932,1.0028567864,0.9508711051,1.2492168110,1.0552386618,1.1832415440
2023-06-26,1.0175183344,1.0128332501,1.0166127175,1.0163368457,1.0254386396,1.0264931310,1.0172665732,1.0023116431,0.9474368564,1.2580887031,1.0591661369,1.1770318091
2023-06-27,1.0177189846,1.0128839885,1.0168732406,1.0163484519,1.0250414784,1.0259203950,1.0171899528,1.0017823312,0.9481354485,1.2550562049,1.0591245413,1.1903108756
2023-06-28,1.0177279999,1.0128266499,1.0170079201,1.0166517813,1.0262315149,1.0267075401,1.0172602678,1.0039486596,0.9422706876,1.2387987156,1.0607428400,1.1951442862
2023-06-29,1.0177831013,1.0132227678,1.0171116608,1.0166449733,1.0258721983,1.0280112714,1.0174491298,1.0021290492,0.9342865219,1.2224839921,1.0601450480,1.2278952076
2023-06-30,1.0178721271,1.0133535887,1.0172569303,1.0167980513,1.0267283894,1.0290888867,1.0175691631,1.0064478508,0.9407909003,1.2394763088,1.0569773645,1.2180732530
2023-07-03,1.0179924733,1.0135486640,1.0174864508,1.0167663274,1.0270635187,1.0293325750,1.0176931719,1.0107722623,0.9421976818,1.2140160934,1.0589033612,1.2090004158
2023-07-04,1.0181217878,1.0135550730,1.0176846896,1.0169487659,1.0279406832,1.0300248169,1.0179434699,1.0092671169,0.9414952317,1.2202689506,1.0575981293,1.2243135861
2023-07-05,1.0182146750,1.0136732325,1.0178610901,1.0170860984,1.0295803907,1.0293482942,1.0181535505,1.0097945366,0.9477206388,1.2246459490,1.0525709788,1.2210698599
2023-07-06,1.0181380473,1.0139216883,1.0179549519,1.0172602470,1.0296763204,1.0295563429,1.0182972115,1.0117619948,0.9655225208,1.2446099278,1.0523484348,1.2802432291
2023-07-07,1.0182965372,1.0142386401,1.0180296209,1.0173464377,1.0289352518,1.0298952232,1.0183589322,1.0116901846,0.9595610220,1.2341353318,1.0537888600,1.2900549954
2023-07-10,1.0185034976,1.0145799029,1.0182007203,1.0178827521,1.0283626395,1.0299258500,1.0185030581,1.0116090313,0.9600794205,1.2350794056,1.0634244280,1.3072482860
2023-07-11,1.0188268487,1.0146841628,1.0184058275,1.0179315300,1.0282062885,1.0299142666,1.0184770183,1.0117111941,0.9688015432,1.2180064111,1.0709443907,1.3133516440
2023-07-12,1.0189174182,1.0144786906,1.0182757396,1.0181699271,1.0294892234,1.0287912140,1.0187500024,1.0126108143,0.9502719202,1.2049571532,1.0639682866,1.3096815336
2023-07-13,1.0190459000,1.0145281691,1.0182978581,1.0185145302,1.0301344729,1.0288739178,1.0189443820,1.0135782036,0.9415329594,1.2130985005,1.0589440398,1.2978959559
2023-07-14,1.0191730577,1.0148480446,1.0186803831,1.0185813861,1.0315670415,1.0299332821,1.0190955970,1.0126753997,0.9375425110,1.1993756190,1.0450106032,1.3034017041
2023-07-17,1.0194159864,1.0150076611,1.0188880872,1.0188482840,1.0313845490,1.0298378360,1.0191661979,1.0127438001,0.9323052360,1.2097152914,1.0483560676,1.2894271044
2023-07-18,1.0196600169,1.0152720662,1.0189089837,1.0188338279,1.0313657588,1.0287148365,1.0193382961,1.0134686841,0.9107798793,1.1787418260,1.0363713175,1.2759562156
2023-07-19,1.0198016809,1.0152903933,1.0191143628,1.0187289250,1.0302219726,1.0299134839,1.0194459765,1.0145995924,0.9069688592,1.2029166967,1.0269115531,1.2726268904
2023-07-20,1.0197877487,1.0156978672,1.0192269136,1.0187767942,1.0299448812,1.0285953625,1.0195512494,1.0144266511,0.9030412271,1.2229366865,1.0314137100,1.2942283216
2023-07-21,1.0199829250,1.0158366086,1.0193181869,1.0186173313,1.0286600594,1.0282259675,1.0195673505,1.0150276019,0.8936859386,1.2230530035,1.0282975039,1.2929322403
2023-07-24,1.0201896356,1.0161202717,1.0194259526,1.0187013230,1.0296248104,1.0277791645,1.0196747082,1.0204284126,0.8939497975,1.2395035827,1.0332705978,1.2951139716
2023-07-25,1.0202955666,1.0164879744,1.0194467762,1.0190714593,1.0305939689,1.0302346934,1.0197089136,1.0202915238,0.8959708018,1.2473877085,1.0404314808,1.2918857738
2023-07-26,1.0204550970,1.0168832052,1.0195797153,1.0194270789,1.0303796690,1.0297582282,1.0198001583,1.0229365335,0.9037768257,1.2454427473,1.0442477931,1.2766397415
2023-07-27,1.0207823983,1.0171021599,1.0196914303,1.0193447617,1.0295295867,1.0304104705,1.0198819548,1.0220852430,0.9072415856,1.2401242160,1.0475681145,1.2609184190
2023-07-28,1.0209645406,1.0172073435,1.0195998288,1.0197243171,1.0297698573,1.0292201163,1.0200907235,1.0205393092,0.8996503920,1.2117127013,1.0393804695,1.2119681197
2023-07-31,1.0212483894,1.0175183812,1.0197673477,1.0198736731,1.0291988361,1.0326903007,1.0200547612,1.0194884135,0.9027321889,1.2284621330,1.0498561364,1.2196243588
